id,name,released,rating,ratings_count,metacritic,playtime,genres,platforms
514894,Football Manager 2021,2020-11-23,4.14,77,82.0,49,"Strategy, Simulation, Sports","PC, Xbox One, Xbox Series S/X, macOS"
257202,Creaks,2020-07-22,3.92,101,82.0,4,"Indie, Adventure, Puzzle","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS"
422859,NieR Replicant v1.22474487139...,2021-04-23,4.37,257,82.0,16,"Adventure, Action, RPG","PC, Xbox One, PlayStation 4"
369159,Shovel Knight Dig,2022-09-23,3.31,13,82.0,2,"Adventure, Action, Strategy, Platformer, Indie","PC, Xbox One, PlayStation 4, Nintendo Switch"
349174,Will You Snail?,2022-03-09,0.0,1,82.0,4,"Platformer, Indie, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
487914,Super Mario 3D All-Stars,2020-09-18,3.93,123,82.0,0,"Platformer, Action",Nintendo Switch
430498,UnMetal,2021-09-28,3.68,45,82.0,3,"Indie, Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, PS Vita"
437046,51 Worldwide Classics,2020-06-04,4.12,43,82.0,0,"Casual, Family, Board Games",Nintendo Switch
566445,Gnosia,2021-03-04,4.38,16,82.0,4,"Adventure, RPG","PC, PlayStation 5, PlayStation 4, Xbox One, Xbox Series S/X, Nintendo Switch, PS Vita"
411611,Yakuza 5 Remastered,2020-02-11,4.22,66,82.0,7,Action,"PC, Xbox One, PlayStation 4"
563419,The Life and Suffering of Sir Brante,2021-03-04,4.19,188,82.0,6,"Adventure, RPG, Strategy, Simulation, Indie","PC, Xbox One, PlayStation 4, Nintendo Switch"
391397,Grounded,2022-09-27,3.78,292,82.0,6,"Indie, Adventure","PC, PlayStation 5, Xbox One, Xbox Series S/X"
424978,Signalis,2022-10-27,4.36,216,82.0,3,"Indie, Adventure, Action","PC, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
427653,Hardspace: Shipbreaker,2022-05-23,3.88,82,82.0,6,Simulation,"PC, Xbox One, PlayStation 4"
300689,Tails of Iron,2021-09-16,3.91,103,82.0,3,"Indie, Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
427971,Disc Room,2020-10-22,3.69,58,82.0,2,"Indie, Adventure, Action","PC, Xbox One, Nintendo Switch"
362880,The Last Spell,2023-03-08,3.87,31,82.0,4,"Strategy, Indie, Action, RPG","PC, PlayStation 5, PlayStation 4, Nintendo Switch, macOS"
52337,Them's Fightin' Herds,2020-04-30,3.36,41,82.0,3,"Indie, Action, Fighting","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS, Linux"
534163,Gears 5: Hivebusters,2020-12-15,3.83,46,82.0,0,"Shooter, Action","PC, Xbox One, Xbox Series S/X"
484554,Everhood,2021-03-03,4.19,72,82.0,5,"Indie, Adventure, Action, RPG","PC, Nintendo Switch"
419295,Command & Conquer Remastered Collection,2020-06-05,4.19,88,82.0,3,Strategy,PC
494394,Monster Hunter Stories 2: Wings of Ruin,2021-07-09,3.84,24,82.0,10,"Adventure, RPG","PC, Nintendo Switch"
479695,Control Ultimate Edition,2020-08-27,4.31,341,82.0,2,"Shooter, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, macOS"
437059,Assassin's Creed Valhalla,2020-11-10,3.69,773,82.0,5,"Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X"
268446,Barotrauma,2023-03-13,3.77,188,81.0,4,"Strategy, Indie, Action, Simulation","PC, macOS, Linux"
362874,Wingspan,2020-09-16,3.65,41,81.0,2,"Casual, Strategy, Indie","PC, Xbox One, Nintendo Switch, macOS"
409575,Pathfinder: Wrath of the Righteous,2021-09-02,4.23,130,81.0,10,RPG,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS"
460463,Ynglet,2021-06-04,0.0,4,81.0,2,"Casual, Indie, Action","PC, macOS"
37818,Jagged Alliance 3,2023-07-13,3.87,29,81.0,4,"Strategy, Action",PC
471019,Alba: A Wildlife Adventure,2020-12-11,4.17,79,81.0,3,"Casual, Adventure","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS"
288671,Littlewood,2020-08-04,3.64,42,81.0,4,"Casual, Indie, Adventure, RPG","PC, Nintendo Switch, macOS, Linux"
387328,Curse of the Dead Gods,2021-02-23,3.65,186,81.0,2,"Adventure, Action, RPG","PC, Xbox One, PlayStation 4, Nintendo Switch"
17010,Kentucky Route Zero,2020-01-28,3.98,312,81.0,2,"Indie, Adventure","PC, PlayStation 4, Nintendo Switch, iOS, macOS, Linux"
372576,Lost Ark,2022-02-11,3.18,279,81.0,10,"Massively Multiplayer, RPG",PC
427878,Inertial Drift,2020-09-11,2.96,25,81.0,1,"Racing, Indie","PC, Xbox One, PlayStation 4, Nintendo Switch"
520300,Atelier Ryza 2: Lost Legends & the Secret Fairy,2021-01-26,3.61,18,81.0,6,"Adventure, RPG","PC, PlayStation 5, PlayStation 4, Nintendo Switch"
558974,The Legend of Zelda: Skyward Sword HD,2021-07-16,4.34,95,81.0,0,"Adventure, Action",Nintendo Switch
499331,Sackboy: A Big Adventure,2020-11-12,4.13,154,81.0,3,"Platformer, Adventure, Action","PC, PlayStation 5, PlayStation 4"
58618,Age of Empires IV,2021-10-28,3.89,156,81.0,4,Strategy,PC
306089,Trials of Fire,2021-04-08,3.59,17,81.0,3,"Strategy, Indie, RPG",PC
58762,Gears Tactics,2020-04-28,3.88,218,81.0,7,Strategy,"PC, Xbox One"
532225,Vitamin Connection,2020-02-20,0.0,1,80.0,0,"Family, Adventure, Action",Nintendo Switch
59869,Roundguard,2020-03-13,3.41,16,80.0,3,"Action, RPG, Casual, Strategy, Indie","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS"
304191,Cyber Shadow,2021-01-26,3.79,66,80.0,4,"Platformer, Indie, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch, macOS"
255825,Sakuna: Of Rice and Ruin,2020-11-10,3.75,37,80.0,3,"Platformer, Indie, Action, Simulation","PC, PlayStation 4, Nintendo Switch"
366843,Syberia: The World Before,2022-03-18,3.9,63,80.0,20,Adventure,"PC, PlayStation 5, Xbox Series S/X"
442850,Old World,2021-07-01,3.64,25,80.0,3,"Strategy, Simulation","PC, macOS, Linux"
395979,Atelier Dusk Trilogy Deluxe Pack,2020-01-14,0.0,0,80.0,0,"Adventure, RPG","PlayStation 4, Nintendo Switch"
580957,CLAP HANZ GOL‪F‬,2021-04-02,0.0,0,80.0,0,Sports,iOS
563412,Saviors of Sapphire Wings / Stranger of Sword City Revisited,2021-03-16,0.0,0,80.0,2,RPG,"PC, Nintendo Switch"
385444,Boomerang X,2021-07-08,4.23,21,80.0,2,"Indie, Action","PC, Nintendo Switch"
63573,Kaze and the Wild Masks,2021-03-26,4.0,24,80.0,3,"Adventure, Action, Arcade, Indie, Platformer","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS"
398403,Bravely Default II,2021-02-26,3.64,22,80.0,2,"Adventure, RPG","PC, Nintendo Switch"
322240,Crown Trick,2020-10-16,3.57,35,80.0,3,"Indie, Strategy, Adventure, RPG","PC, Xbox One, PlayStation 4, Nintendo Switch"
364870,Heavenly Bodies,2021-12-07,3.77,48,80.0,2,"Adventure, Action, Simulation","PC, PlayStation 5, PlayStation 4, macOS"
275606,The Artful Escape,2021-09-09,4.11,137,80.0,4,"Indie, Platformer, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
442839,Observer: System Redux,2020-11-10,4.07,100,80.0,1,"Indie, Adventure","PC, PlayStation 5, Xbox One, Xbox Series S/X"
379453,The Walking Dead: Saints & Sinners,2020-01-23,3.81,70,80.0,2,"Adventure, Action, RPG, Strategy, Simulation, Indie","PC, PlayStation 5, PlayStation 4"
287342,Subnautica: Below Zero,2021-05-14,4.0,310,80.0,10,"Indie, Adventure","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS"
415171,Valorant,2020-06-02,3.53,470,80.0,0,"Shooter, Strategy, Action","PC, PlayStation 5, Xbox Series S/X"
481904,Card Shark,2022-06-02,3.96,47,80.0,3,"Card, Adventure, Simulation, Indie","PC, Nintendo Switch, macOS, PlayStation 3, PSP"
560733,Diablo II: Resurrected,2021-09-23,4.1,252,80.0,0,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
477307,Urban Flow,2020-06-26,0.0,3,80.0,0,"Puzzle, Casual, Strategy, Arcade, Simulation, Indie","PC, Nintendo Switch"
566457,Fantasian,2024-12-05,4.17,12,80.0,0,RPG,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, iOS, macOS"
463733,UFC 4,2020-08-14,3.56,54,80.0,0,Sports,"Xbox One, PlayStation 4"
62505,Genesis Noir,2021-03-26,3.64,80,80.0,2,Adventure,"PC, Xbox One, Nintendo Switch, macOS"
528768,Persona 5 Strikers,2020-02-20,3.91,163,80.0,9,"Adventure, Action, RPG","PC, PlayStation 4, Nintendo Switch"
244869,Visage,2020-10-30,3.36,131,80.0,3,"Indie, Adventure, Action, Simulation","PC, Xbox One, PlayStation 4"
517303,Sam & Max Save The World - Remastered,2020-12-02,3.71,14,80.0,0,"Adventure, Puzzle","PC, Xbox One, PlayStation 4, Nintendo Switch"
